sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
1	One_1	Branch_Point	Rep_One_MAP_mut_BP_1	0.33390611396129	0.203437362876534	0.130468751084756	13.0468751084756	0.00397969152808608	0.011626891680203	TRUE
2	One_10	Branch_Point	Rep_One_MAP_mut_BP_1_4	0.263531699711414	0.155953674774871	0.107578024936543	10.7578024936543	0.0110366726370318	0.024536888273401	TRUE
3	One_100	RBP_Two_RBP_four_au_rich	Rep_One_MAP_RBP_Block_Two_RBP_Block_four_au_rich	0.224047719345982	0.0680899719420076	0.155957747403975	15.5957747403975	0.00173733412847119	0.00709174095064468	TRUE
4	One_101	RBP_Two_RBP_four_shuffle	Rep_One_MAP_RBP_Block_Two_RBP_Block_four_shuffle	0.218438434002897	0.122760117790832	0.0956783162120649	9.56783162120649	0.000993693380331845	0.00515355870315293	TRUE
5	One_102	RBP_Two_RBP_three_au_rich	Rep_One_MAP_RBP_Block_Two_RBP_Block_three_au_rich	0.307922339433209	0.196797661579959	0.111124677853251	11.1124677853251	0.0215136842474099	0.0413660801359465	TRUE
6	One_103	RBP_Two_RBP_three_shuffle	Rep_One_MAP_RBP_Block_Two_RBP_Block_three_shuffle	0.353073010034194	0.201286852921984	0.15178615711221	15.178615711221	0.000723563131694986	0.00429911636997329	TRUE
7	One_104	AT_to_GC_10pct_1	Rep_One_AT_to_GC_MAP_10pct_mutant_1	0.121329462136723	0.0748097831367028	0.0465196790000201	4.65196790000201	0.0141571892324006	0.0292542748453754	TRUE
8	One_105	AT_to_GC_10pct_2	Rep_One_AT_to_GC_MAP_10pct_mutant_2	0.0157221785317874	0.0040857213201247	0.0116364572116627	1.16364572116627	2.6359210315352e-05	0.00146388542082546	TRUE
9	One_106	AT_to_GC_10pct_3	Rep_One_AT_to_GC_MAP_10pct_mutant_3	0.261127264876435	0.141578628869453	0.119548636006982	11.9548636006982	0.0170589510975813	0.0338460464007789	TRUE
10	One_107	AT_to_GC_10pct_4	Rep_One_AT_to_GC_MAP_10pct_mutant_4	0.26202043022958	0.0890713500595848	0.172949080169995	17.2949080169995	0.00200716798932917	0.00764786038532131	TRUE
